"condition","sample","ROI.label","Mutual.information.Hoechst.vs.GFP","Pearson.correlation.coefficient.Hoechst.vs.GFP","puncta.mol.fraction.GFP","puncta.vol.fraction.GFP","mean.intensity.per.cell.GFP","light.phase.intensity.GFP","puncta.dense.phase.intensity.GFP","protein.conc.per.cell.GFP","puncta.number.per.nuclear.vol.GFP","light.phase.conc.GFP","avg.puncta.vol.GFP","puncta.dense.phase.conc.GFP","Kp.GFP","DeltaGtr.GFP"
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",37,0.210193319887797,-0.447032543157617,NA,0,62.4264919455008,62.4264919455008,NA,1.24852983891002,0,1.24852983891002,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",38,0.0303221100497044,0.103698662399462,NA,0,44.1181257099065,44.1181229729175,NA,0.88236251419813,0,0.88236245945835,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",39,0.220024912593832,-0.130850777989967,NA,0,147.340368063763,147.340368063763,NA,2.94680736127526,0,2.94680736127527,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",40,0.0297954161789029,0.103296619799442,NA,0,43.1605601845332,43.1605601845332,NA,0.863211203690664,0,0.863211203690665,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",41,0.0758638597366729,-0.189314624855772,NA,0,56.6710243623996,56.6710243623996,NA,1.13342048724799,0,1.13342048724799,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",42,0.184480560496068,-0.0535742385492575,NA,0,193.511352442718,193.511352442718,NA,3.87022704885436,0,3.87022704885435,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",43,0.177920384380483,0.0639778582981398,NA,0,2904.61242134657,2904.61242134657,NA,58.0922484269314,0,58.0922484269313,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",44,0.231119980462081,-0.105888220078145,NA,0,118.208228876328,118.208228876328,NA,2.36416457752656,0,2.36416457752656,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",45,0.101290694194534,-0.0099233817352919,NA,0,49.0398485232178,49.0398485232178,NA,0.980796970464356,0,0.980796970464356,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",46,0.682622769284245,-0.599092838174549,NA,0,489.382716130129,489.382716130129,NA,9.78765432260258,0,9.78765432260259,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",47,0.0477472354493899,-0.0414717142710149,NA,0,36.9470991658943,36.9470991658943,NA,0.738941983317886,0,0.738941983317887,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",50,0.171210459460568,-0.0272771564167197,NA,0,315.218669052083,315.218669052083,NA,6.30437338104166,0,6.30437338104165,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",51,0.146465080849127,-0.0284400485429962,NA,0,67.6955316602724,67.6955316602724,NA,1.35391063320545,0,1.35391063320545,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",52,0.0073712276432118,-0.0014874644526007,NA,0,18.8288168591851,18.8288168591851,NA,0.376576337183702,0,0.376576337183702,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",54,0.06670922552955,-0.118332001590588,NA,0,79.1481725346371,79.1481694578371,NA,1.58296345069274,0,1.58296338915674,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",56,0.157938802393134,-0.0865168603970006,NA,0,441.506725146199,441.506725146199,NA,8.83013450292398,0,8.83013450292398,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",57,0.532612997966615,0.151043140173153,NA,0,387.756403201027,387.756403201027,NA,7.75512806402054,0,7.75512806402055,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",58,0.125276909814035,0.176885137305488,NA,0,74.0730295810064,74.0730295810064,NA,1.48146059162013,0,1.48146059162013,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_1_XY1628607860.tif",60,0.171821985584889,-0.242024403766059,NA,0,73.3932138425818,73.3932138425818,NA,1.46786427685164,0,1.46786427685164,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",1,0.054882536816823,-0.0901818414100776,NA,0,120.765434003603,120.765434003603,NA,2.41530868007206,0,2.41530868007205,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",2,0.0162029601332229,0.126945264037486,NA,0,11.7889079515287,11.7889043396601,NA,0.235778159030574,0,0.235778086793202,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",3,0.0093815162996762,0.0582944548927531,NA,0,9.98498379053436,9.98498379053436,NA,0.199699675810687,0,0.199699675810687,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",4,0.0083596198940658,0.0326779633139484,NA,0,8.68247384427821,8.68247384427821,NA,0.173649476885564,0,0.173649476885564,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",5,0.0185550784821706,0.14058996801332,NA,0,20.8354670301253,20.8354670301253,NA,0.416709340602506,0,0.416709340602506,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",6,0.0135214144401603,0.0216101928886755,NA,0,25.7292273704956,25.7292273704956,NA,0.514584547409912,0,0.514584547409911,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",7,0.0342135605412785,-0.0011714814505378,NA,0,30.7666317318099,30.7666317318099,NA,0.615332634636198,0,0.615332634636198,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",9,0.0437473286649434,0.279948838794092,NA,0,11.6231512766845,11.6231512766845,NA,0.23246302553369,0,0.232463025533691,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",11,0.0520046308769872,0.0191705968117958,NA,0,15.4202027323722,15.4202027323722,NA,0.308404054647444,0,0.308404054647445,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",13,0.0608323921342304,-0.0396872839428627,NA,0,55.0135896789974,55.0135896789974,NA,1.10027179357995,0,1.10027179357995,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",14,0.141791165700638,0.0291423889375915,NA,0,117.958094992892,117.958094992892,NA,2.35916189985784,0,2.35916189985784,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",15,0.0326950094911495,-0.0071623465927842,NA,0,32.5998844026092,32.5998844026092,NA,0.651997688052184,0,0.651997688052184,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",16,0.332851762969911,-0.107740539301115,NA,0,341.20932558842,341.20932558842,NA,6.8241865117684,0,6.82418651176841,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",17,0.267261517865848,-0.173835773424124,NA,0,3460.93212353104,3460.93212353104,NA,69.2186424706208,0,69.2186424706208,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",18,0.18505699022413,-0.0552213566095973,NA,0,87.4479138426864,87.4479138426864,NA,1.74895827685373,0,1.74895827685373,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",19,0.0129651197128914,0.0871820281684532,NA,0,14.7573616945581,14.7573616945581,NA,0.295147233891162,0,0.295147233891162,0,NA,NA,NA
"GFPempty","08102021_GFPempty_-_Position_10_XY1628607869.tif",20,0.0727224348181811,0.0214511366822466,NA,0,51.1315921863519,51.1315921863519,NA,1.02263184372704,0,1.02263184372704,0,NA,NA,NA
