"GFP.entropy","GFP.integrated.background.intensity","GFP.integrated.intensity.inside.GFP.puncta","GFP.integrated.intensity.outside.GFP.puncta","GFP.integrated.intensity.per.ROI","GFP.mean.background.intensity","GFP.mean.intensity.inside.GFP.puncta","GFP.mean.intensity.outside.GFP.puncta","GFP.mean.intensity.per.ROI","Hoechst.entropy","Hoechst.integrated.background.intensity","Hoechst.integrated.intensity.inside.GFP.puncta","Hoechst.integrated.intensity.outside.GFP.puncta","Hoechst.integrated.intensity.per.ROI","Hoechst.mean.background.intensity","Hoechst.mean.intensity.inside.GFP.puncta","Hoechst.mean.intensity.outside.GFP.puncta","Hoechst.mean.intensity.per.ROI","Image.name","Mutual.information.Hoechst.vs.GFP","Pearson.correlation.coefficient.Hoechst.vs.GFP","Pearson.correlation.p.value.Hoechst.vs.GFP","ROI.label","ROI.volume.pix","ROI.volume.um","average.GFP.puncta.distance.to.ROI.border.um.per.ROI","average.GFP.puncta.volume.pix.per.ROI","average.GFP.puncta.volume.um.per.ROI","condition","number.of.GFP.puncta","sample","total.GFP.puncta.volume.pix.per.ROI","total.GFP.puncta.volume.um.per.ROI","x","y","z"
4.9855869459875,18993769682,NA,52093032,52093032,468.199011544324,NA,188.805804833495,188.805804833495,5.26317379439245,664992764,NA,27176213,27176213,16.3921622722417,NA,98.49737231251,98.49737231251,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.19451831069102,-0.398430894652054,0,23,275908,667.697319156312,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,702.841255056033,400.492696840976,35.7560491178219
8.42082426694786,18993769682,NA,3706463232,3706463232,468.199011544324,NA,4924.87806537337,4924.87806537337,4.42079523901818,664992764,NA,45211948,45211948,16.3921622722417,NA,60.0743396226415,60.0743396226415,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.446435955214251,0.0466672179008101,0,24,752600,1821.29188858982,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,83.4267432899283,458.338267339888,32.8577331916024
5.62501323630418,18993769682,NA,15226406,15226406,468.199011544324,NA,126.87402926374,126.87402926374,5.05611269610307,664992764,NA,8885138,8885138,16.3921622722417,NA,74.0354131253541,74.0354131253541,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.397890958332152,-0.186444462184205,0,25,120012,290.429022234177,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,911.737917874879,437.705671099557,47.5600939906009
7.34132271043817,18993769682,NA,1519012864,1519012864,468.199011544324,NA,2217.3136778923,2217.3136778923,4.5219868549821,664992764,NA,41034959,41034959,16.3921622722417,NA,59.8990160115258,59.8990160115258,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.217164797547141,0.103962215200645,0,26,685069,1657.86687858669,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,303.058468563021,459.567185203242,29.8953127349216
7.413098845495,18993769682,NA,1433845191,1433845191,468.199011544324,NA,2088.17170731565,2088.17170731565,4.57791054783546,664992764,NA,43010100,43010100,16.3921622722417,NA,62.6374970691079,62.6374970691079,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.252400844675306,-0.012494080192017,4.03331483030216e-25,27,686651,1661.6953183525,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,496.28640604907,475.273877122439,29.5472357864476
5.88728360399473,18993769682,NA,64599202,64599202,468.199011544324,NA,380.25701217897,380.25701217897,4.77617578787141,664992764,NA,12672882,12672882,16.3921622722417,NA,74.5977054796536,74.5977054796536,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.249280645785538,-0.0526359557203446,1.65847478645409e-104,28,169883,411.116834851587,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,195.418376176545,501.955145600207,28.5732239247011
5.42345263229862,18993769682,NA,59260336,59260336,468.199011544324,NA,143.225321203801,143.225321203801,4.11623728596202,664992764,NA,16630307,16630308,16.3921622722417,NA,40.1935150185133,40.1935150185133,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.116790662566811,-0.117591129563413,0,29,413756,1001.28945875016,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,788.688939858274,513.064591208345,27.1879441023212
5.42669410203331,18993769682,NA,70124135,70124135,468.199011544324,NA,148.367534984491,148.367534984491,3.94450474786223,664992764,NA,16766377,16766377,16.3921622722417,NA,35.4740350966279,35.4740350966279,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.097154899130782,0.0201016979625358,1.90378866373657e-43,30,472638,1143.78389003364,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,664.480172986514,532.286339651065,33.434700553066
6.04443422930153,18993769682,NA,48040638,48040638,468.199011544324,NA,259.275495444929,259.275495444929,4.48813885013562,664992764,NA,11035047,11035047,16.3921622722417,NA,59.556188204309,59.556188204309,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.256007149755048,0.269109388241015,0,31,185288,448.396932571128,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,23.2145848624843,543.211244117266,29.1506303700186
7.83928232032895,18993769682,NA,1434908235,1434908235,468.199011544324,NA,3127.572205766,3127.572205766,4.0075735098919,664992764,NA,15552176,15552176,16.3921622722417,NA,33.8980237274762,33.8980237274762,"GFPempty/08102021_GFPempty_-_Position_1_XY1628607860.tif",0.304908103240216,0.158945296516049,0,32,458793,1110.27899208317,0,0,0,"GFPempty",0,"08102021_GFPempty_-_Position_1_XY1628607860.tif",0,0,941.878908353004,576.4624285898,32.1802969966848
